name,targetVariableType,dataSize,linearSeparability,dataDimensionality
Logistic Regression,BINARY,SMALL,LINEARLY_SEPARABLE,LOW
Linear Regression,CONTINUOUS,SMALL,LINEARLY_SEPARABLE,LOW
KMeans,MULTI_CLASS,SMALL,LINEARLY_SEPARABLE,LOW
SVM Classifier,BINARY,SMALL,NOT_LINEARLY_SEPARABLE,LOW
SVM Regression,CONTINUOUS,SMALL,NOT_LINEARLY_SEPARABLE,LOW
SGD Classifier,BINARY,LARGE,LINEARLY_SEPARABLE,HIGH
SGD Regression,CONTINUOUS,LARGE,LINEARLY_SEPARABLE,HIGH
MiniBatch KMeans,MULTI_CLASS,LARGE,LINEARLY_SEPARABLE,HIGH
XGBoost Classifier,BINARY,LARGE,NOT_LINEARLY_SEPARABLE,HIGH
XGBoost Regression,CONTINUOUS,LARGE,NOT_LINEARLY_SEPARABLE,HIGH
KNN,BINARY,SMALL,NOT_LINEARLY_SEPARABLE,LOW
KNN,MULTI_CLASS,SMALL,NOT_LINEARLY_SEPARABLE,LOW
Random Forest Classifier,BINARY,SMALL,NOT_LINEARLY_SEPARABLE,LOW
Random Forest Classifier,MULTI_CLASS,SMALL,NOT_LINEARLY_SEPARABLE,LOW
Random Forest Regression,CONTINUOUS,SMALL,NOT_LINEARLY_SEPARABLE,LOW
Neural Network,BINARY,LARGE,NOT_LINEARLY_SEPARABLE,HIGH
Neural Network,MULTI_CLASS,LARGE,NOT_LINEARLY_SEPARABLE,HIGH
Neural Network,CONTINUOUS,LARGE,NOT_LINEARLY_SEPARABLE,HIGH
